owner_name,first_name,patronymic,last_name,declaration_year,office,position,url
Горбенко Надія Михайлівна,Андрій,Григорович,Кудрицький,2020,АТ ДТЕК Дніпровські електромережі Павлоградський РЕМ,Головний інженер,https://declarations.com.ua/declaration/nacp_1ac59e82-382f-40b1-a840-9f152fa3c204
Горбенко Надія Михайлівна,Андрій,Григорович,Кудрицький,2019,АТ ДТЕК Дніпровські електромережі Павлоградський РЕМ,Головний інженер,https://declarations.com.ua/declaration/nacp_3422c11e-43d1-4e2f-801c-b20a6446ef4b
Горбенко Надія Михайлівна,Станіслав,Петрович,Лисак,2021,ГУ ДФС у Черкаській області,заступник начальника управління,https://declarations.com.ua/declaration/nacp_86d16e7c-c89b-45c8-938a-48bdc2874faa
Горбенко Надія Михайлівна,Віктор,Петрович,Тільний,2020,ФОП Тільний В.П.,депутат Брагинівської сільської ради,https://declarations.com.ua/declaration/nacp_47915c80-821d-4c64-8cb5-fa907cb4c53e
Горбенко Надія Михайлівна,Віктор,Петрович,Тільний,2019,ФОП Тільний В.П.,депутат Брагинівської сільської ради,https://declarations.com.ua/declaration/nacp_22f0b896-3cfa-4b22-bf03-a3fb6d3c99e7
Горбенко Надія Михайлівна,Ігор,Самійлович,Бондаренко,2019,Закарпатська обласна державна адміністрація,Голова,https://declarations.com.ua/declaration/nacp_35778dca-8ccb-4f79-bf48-bda8cd97dbae
Горбенко Надія Михайлівна,Ігор,Самійлович,Бондаренко,2019,Закарпатська обласна державна адміністрація,Голова,https://declarations.com.ua/declaration/nacp_067a56c6-20a3-4af0-952d-236600f982a9
Горбенко Надія Михайлівна,Ігор,Самійлович,Бондаренко,2019,Закарпатська обласна державна адміністрація,Голова,https://declarations.com.ua/declaration/nacp_964a6607-932c-4d0d-8507-c8b721ea6847
Горбенко Надія Михайлівна,Ігор,Самійлович,Бондаренко,2018,Закарпатська обласна державна адміністрація,Голова,https://declarations.com.ua/declaration/nacp_618b03c0-8123-403f-9f8f-643cae20b5e0
Горбенко Надія Михайлівна,Наталія,Валеріївна,Кукурік,2019,Регіональний центр з надання безоплатної вторинної правової допомоги у Волинській області,начальник відділу організації надання безоплатної вторинної правової допомоги,https://declarations.com.ua/declaration/nacp_223d4d70-0dce-41f3-9a89-2038b79721da
Горбенко Надія Михайлівна,Артем,Андрійович,Боруш,2018,3 Державний пожежно-рятувальний загін Головного управління ДСНС України у Донецькій області,"старший інспектор відділення контролю за застосуванням санкцій, обліку пожеж та надзвичайних ситуацій",https://declarations.com.ua/declaration/nacp_36eb402d-92a0-4451-b51b-3409107a208f
Горбенко Надія Михайлівна,Віктор,Ничипорович,М'ялик,2019,Верховна Рада,Депутат,https://declarations.com.ua/declaration/nacp_e9d07eea-3483-4578-aa6a-f297e23f04ed
Горбенко Надія Михайлівна,Віктор,Ничипорович,М'ялик,2019,Верховна Рада,Депутат,https://declarations.com.ua/declaration/nacp_271eb607-ad9a-439f-a7ad-9966cec528e3
Горбенко Надія Михайлівна,Надія,Іванівна,Горбенко,2018,42-ДПРЧ ГУ ДСНС України у Харківській області,Комендант,https://declarations.com.ua/declaration/nacp_6011e89a-6bfa-4e78-9ee6-693cf6940305
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2019,Виконавчий комітет Руденківської сільської ради,"секретар сільської ради, депутат сільської ради",https://declarations.com.ua/declaration/nacp_687ba576-5f7b-44b3-85b3-da0dcc5274eb
Горбенко Надія Михайлівна,Надія,Іванівна,Горбенко,2018,42-ДПРЧ ГУ ДСНС України у Харківській області,Комендант,https://declarations.com.ua/declaration/nacp_b85bdf8a-7f6c-4136-8126-d272d71c6cd2
Горбенко Надія Михайлівна,Надія,Іванівна,Горбенко,2018,42-ДПРЧ ГУ ДСНС України у Харківській області,Комендант,https://declarations.com.ua/declaration/nacp_223e084f-1121-48b2-b900-62f3d7b37a71
Горбенко Надія Михайлівна,Надія,Іванівна,Горбенко,2018,42-ДПРЧ ГУ ДСНС України у Харківській області,Комендант,https://declarations.com.ua/declaration/nacp_f869e449-4e7f-4805-ba0a-e2391d962944
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2018,Виконавчий комітет Руденківської сільської ради,"секретар сільської ради, депутат сільської ради",https://declarations.com.ua/declaration/nacp_f4d09e95-dc87-4fe2-97f0-8a61cc4a3bf5
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2020,Виконавчий комітет Руденківської сільської ради Новосанжарського району Полтавської області,"секретар сільської ради, депутат сільської ради",https://declarations.com.ua/declaration/nacp_ed470306-0f8f-4fb5-8dad-b0a93deefa66
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2018,шевченківська районна в місті Києві державна адміністрація,головний спеціаліст ,https://declarations.com.ua/declaration/nacp_9bb7f7ca-a492-45c2-8e92-d7a0db190d26
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2019,шевченківська районна в місті Києві державна адміністрація,головний спеціаліст ,https://declarations.com.ua/declaration/nacp_0bba6824-98b0-4872-be67-c067ee282bc0
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2020,шевченківська районна в місті Києві державна адміністрація,головний спеціаліст ,https://declarations.com.ua/declaration/nacp_bba3db4a-a18f-450f-ab18-fcafaff266d3
Горбенко Надія Михайлівна,Ірина,Михайлівна,Горбенко,2020,Виконавчий комітет Руденківської сільської ради Новосанжарського району Полтавської області,"секретар сільської ради, депутат сільської ради",https://declarations.com.ua/declaration/nacp_2046dae5-c2a5-4a37-9c1f-93f7e4f4fa57
Горбенко Надія Михайлівна,Андрій,Григорович,Кудрицький,2018,"АТ ""ДТЕК"" Дніпровські електромережі"" Павлоградський РЕМ",Старший диспетчер,https://declarations.com.ua/declaration/nacp_915778f9-328a-450c-bf9a-81810912218f
Горбенко Надія Михайлівна,Андрій,Григорович,Кудрицький,2020,АТ ДТЕК Дніпровські електромережі Павлоградський РЕМ,Головний інженер,https://declarations.com.ua/declaration/nacp_1ac59e82-382f-40b1-a840-9f152fa3c204
Горбенко Надія Михайлівна,Андрій,Григорович,Кудрицький,2019,АТ ДТЕК Дніпровські електромережі Павлоградський РЕМ,Головний інженер,https://declarations.com.ua/declaration/nacp_3422c11e-43d1-4e2f-801c-b20a6446ef4b
Горбенко Надія Михайлівна,Станіслав,Петрович,Лисак,2021,ГУ ДФС у Черкаській області,заступник начальника управління,https://declarations.com.ua/declaration/nacp_86d16e7c-c89b-45c8-938a-48bdc2874faa
Горбенко Надія Михайлівна,Віктор,Петрович,Тільний,2020,ФОП Тільний В.П.,депутат Брагинівської сільської ради,https://declarations.com.ua/declaration/nacp_47915c80-821d-4c64-8cb5-fa907cb4c53e
Горбенко Надія Михайлівна,Віктор,Петрович,Тільний,2019,ФОП Тільний В.П.,депутат Брагинівської сільської ради,https://declarations.com.ua/declaration/nacp_22f0b896-3cfa-4b22-bf03-a3fb6d3c99e7
Горбенко Надія Михайлівна,Ігор,Самійлович,Бондаренко,2019,Закарпатська обласна державна адміністрація,Голова,https://declarations.com.ua/declaration/nacp_35778dca-8ccb-4f79-bf48-bda8cd97dbae
Горбенко Надія Михайлівна,Ігор,Самійлович,Бондаренко,2019,Закарпатська обласна державна адміністрація,Голова,https://declarations.com.ua/declaration/nacp_067a56c6-20a3-4af0-952d-236600f982a9
Горбенко Надія Михайлівна,Ігор,Самійлович,Бондаренко,2019,Закарпатська обласна державна адміністрація,Голова,https://declarations.com.ua/declaration/nacp_964a6607-932c-4d0d-8507-c8b721ea6847
Горбенко Надія Михайлівна,Ігор,Самійлович,Бондаренко,2018,Закарпатська обласна державна адміністрація,Голова,https://declarations.com.ua/declaration/nacp_618b03c0-8123-403f-9f8f-643cae20b5e0
Горбенко Надія Михайлівна,Наталія,Валеріївна,Кукурік,2019,Регіональний центр з надання безоплатної вторинної правової допомоги у Волинській області,начальник відділу організації надання безоплатної вторинної правової допомоги,https://declarations.com.ua/declaration/nacp_223d4d70-0dce-41f3-9a89-2038b79721da
Горбенко Надія Михайлівна,Артем,Андрійович,Боруш,2018,3 Державний пожежно-рятувальний загін Головного управління ДСНС України у Донецькій області,"старший інспектор відділення контролю за застосуванням санкцій, обліку пожеж та надзвичайних ситуацій",https://declarations.com.ua/declaration/nacp_36eb402d-92a0-4451-b51b-3409107a208f
Горбенко Надія Михайлівна,Віктор,Ничипорович,М'ялик,2019,Верховна Рада,Депутат,https://declarations.com.ua/declaration/nacp_e9d07eea-3483-4578-aa6a-f297e23f04ed
Горбенко Надія Михайлівна,Віктор,Ничипорович,М'ялик,2019,Верховна Рада,Депутат,https://declarations.com.ua/declaration/nacp_271eb607-ad9a-439f-a7ad-9966cec528e3
Мерзла Ольга Сергіївна,Сергій,Миколайович,Мерзлий,2019,"Відділ освіти, культури, молоді та спорту Галицінівської сільської ради","спеціаліст І категорії відділу освіти, культури, молоді та спорту",https://declarations.com.ua/declaration/nacp_87db2369-31a3-4b05-b63e-0f01533cd437
Мерзла Ольга Сергіївна,Сергій,Миколайович,Мерзлий,2018,"Відділ освіти, культури, молоді та спорту Галицинівської сільської ради ",спеціаліст,https://declarations.com.ua/declaration/nacp_657c6647-8b63-4b31-8ae4-e2180767a196
Мерзла Ольга Сергіївна,Сергій,Миколайович,Мерзлий,2018,Відділ освіти Вітовської РДА Галицинівської сільської ради,"звільнений, з посади спеціаліста Відділу ОКМС 1 категорії Галицинівсько сільської ради",https://declarations.com.ua/declaration/nacp_4d260375-5f08-4404-bfe6-a9173d524988
Мерзла Ольга Сергіївна,Сергій,Миколайович,Мерзлий,2020,"Відділ освіти, культури, молоді та спорту Галицинівської сільської ради","спеціаліст І категорії відділу освіти, культури, молоді та спорту Галицинівської сільської ради",https://declarations.com.ua/declaration/nacp_76bbf06b-09ad-4056-9719-8b9292ed1ab1
Іванова Надія Валеріївна,Надія,Валеріївна,Іванова,2018,"ТОВ ""Золотий Колос""",директор,https://declarations.com.ua/declaration/nacp_2b790a08-ee6d-4517-80ab-508ccfb3b128
Іванова Надія Валеріївна,Надія,Валеріївна,Іванова,2019,ТОВ Золотий Колос,директор,https://declarations.com.ua/declaration/nacp_b4a51eb4-a38b-45c4-adcf-16fb9f102f97
Іванова Надія Валеріївна,Надія,Валеріївна,Іванова,2020,ТОВ Золотий Колос,директор,https://declarations.com.ua/declaration/nacp_e28454e6-0905-498f-8385-f401fae26a61
Іванова Надія Валеріївна,Інна,Володимирівна,Хохлаткіна,2018,Державна архітектурно-будівельна інспекція України,завідувач сектору по роботі з дозвільними документами Управління Державної архітектурно-будівельної інспекції у Кіровоградській області,https://declarations.com.ua/declaration/nacp_906994ed-fb30-4a6e-92a0-89abfacdec60
Іванова Надія Валеріївна,Владилен,Владиленович,Хохлаткін,2018,прокуратура Кіровоградської області,начальник відділу ведення Єдиного реєстру досудових розслідувань та інформаційно-аналітичної роботи,https://declarations.com.ua/declaration/nacp_43c10bdb-9cd3-415f-a975-0cdbc5c44318
Чернецький Віталій Ігорович,Вікторія,Миколаївна,Тимчишин,2020,СРП МТД УЛМТЗ ГУНП у Львівській області,начальник сектору,https://declarations.com.ua/declaration/nacp_2204da23-dccc-4eca-a2b8-8073a2e65ec7
Максимішин Михайло Вікторович,Ганна,Анатоліївна,Максимішина,2018,Коларівська сільська рада,спеціаліст ІІ категорії,https://declarations.com.ua/declaration/nacp_100c6054-5ab6-421b-a987-b790f39024b9
Максимішин Михайло Вікторович,Ганна,Анатоліївна,Максимішина,2019,Коларівська сільська рада,спеціаліст ІІ категорії,https://declarations.com.ua/declaration/nacp_683ae323-8077-4b59-99c7-b160fa5b0e04
Максимішин Михайло Вікторович,Ганна,Анатоліївна,Максимішина,2020,"Відділ освіти, культури, молоді та спорту Мішково-Погорілівської сільської ради Вітовського району Миколаївської області",головний спеціаліст,https://declarations.com.ua/declaration/nacp_d7fe383c-95fa-4189-983b-459e6842e553
Михайлов Олександр Анатолійович,Олександр,Анатолійович,Михайлов,2018,військова частина А0224,начальника стройової частини,https://declarations.com.ua/declaration/nacp_31bf6c1f-5b91-4675-b1dc-6ad76f20c924
Михайлов Олександр Анатолійович,Олександр,Анатолійович,Михайлов,2019,Арцизька міська рада,Спеціаліст-юрисконсульт,https://declarations.com.ua/declaration/nacp_df1049b3-5469-4cb9-96b0-dec6daa0f58f
Михайлов Олександр Анатолійович,Олександр,Анатолійович,Михайлов,2018,військова частина А0224,Начальник стройової частини відділення персоналу,https://declarations.com.ua/declaration/nacp_ac317080-bcb8-4e7e-bf75-272d32cd1dae
Михайлов Олександр Анатолійович,Олександр,Анатолійович,Михайлов,2018,"структурний підрозділ ""Нижньодніпровська дистанція колії"" регіональної філії ""Придніпровська залізниця""",майстер тунельний,https://declarations.com.ua/declaration/nacp_8712495e-ebe2-456c-861a-8ce78cbce4fd
Михайлов Олександр Анатолійович,Олександр,Анатолійович,Михайлов,2018,Арцизька міська рада,Спеціаліст-юрисконсульт ,https://declarations.com.ua/declaration/nacp_d61a3a9e-bae1-4ccc-95ab-46c5a979a71f
Михайлов Олександр Анатолійович,Тетяна,Олександрівна,Михайлова,2019,Маріупольська місцева прокуратура №1 ,прокурор прокуратури,https://declarations.com.ua/declaration/nacp_f7e57d6e-1419-40c4-b8a0-852ad89c8125
Михайлов Олександр Анатолійович,Олександр,Анатолійович,Михайлов,2019,АТ УКРАЇНСЬКА ЗАЛІЗНИЦЯ РФ ПРИДНІПРОВСЬКА ЗАЛІЗНИЦЯ,майстер тунельний,https://declarations.com.ua/declaration/nacp_2a5ff6e0-e2b6-4dc6-9b29-541eace9a10d
Михайлов Олександр Анатолійович,Анна,Олександрівна,Михайлова,2018,Прилуцька місцева прокуратура,прокурор,https://declarations.com.ua/declaration/nacp_33efb738-83fb-45c5-a8b0-b48f9c0c1f8c
Михайлов Олександр Анатолійович,Анна,Олександрівна,Михайлова,2019,Прилуцька місцева прокуратура,прокурор,https://declarations.com.ua/declaration/nacp_5afb37af-6c30-44aa-a444-68d60d30cf26
Михайлов Олександр Анатолійович,Тетяна,Олександрівна,Михайлова,2018,Маріупольська місцева прокуратура №1 ,прокурор прокуратури,https://declarations.com.ua/declaration/nacp_b7d1cedc-eda8-484b-835a-a1a57b51dc62
Михайлов Олександр Анатолійович,Вадим,Олександрович,Михайлов,2018,8-ДПРЧ ГУ ДСНС України у м.Києві,Начальник караулу,https://declarations.com.ua/declaration/nacp_1114d4d3-856b-4595-b811-a8bb3af30bc2
Михайлов Олександр Анатолійович,Вікторія,Олександрівна,Михайлова,2019,Управління житлово-комунального господарства Деснянської районної в місті Києві державної адміністрації,головний спеціаліст,https://declarations.com.ua/declaration/nacp_4edda6f2-53de-419c-a2f0-b2f754da3f2e
Михайлов Олександр Анатолійович,Єгор,Олександрович,Михайлов,2019,АРЗ СП ГУ ДСНС України у Вінницькій області,начальник електростанції - водій ВЖ ІГ ЧЛНА АРЗ СП ГУ ДСНС України у Вінницькій області,https://declarations.com.ua/declaration/nacp_5a447c2c-574f-43b2-b0b8-986d51f73351
Михайлов Олександр Анатолійович,Єгор,Олександрович,Михайлов,2019,АРЗ СП ГУ ДСНС України у Вінницькій області,начальник електростанції - водій ВЖ ІГ ЧЛНА АРЗ СП ГУ ДСНС України у Вінницькій області,https://declarations.com.ua/declaration/nacp_77a4bcaf-9adc-487b-821e-ebb685d98138
Михайлов Олександр Анатолійович,Вадим,Олександрович,Михайлов,2020,17-ДПРЧ ГУ ДСНС України у м.Києві,Заступник начальника частини,https://declarations.com.ua/declaration/nacp_f302d16a-95ef-4ea9-b3f0-c9d59c6cbeb5
Михайлов Олександр Анатолійович,Вадим,Олександрович,Михайлов,2019,17-ДПРЧ ГУ ДСНС України у м.Києві,Заступник начальника частини,https://declarations.com.ua/declaration/nacp_ce6de846-9974-40de-859e-f563d30b4082
Михайлов Олександр Анатолійович,Олександр,Анатолійович,Михайлов,2020,Прокуратура України,прокурор місцевої прокуратури ,https://declarations.com.ua/declaration/nacp_ae378d82-827d-4d73-b720-4a89bd14c640
Михайлов Олександр Анатолійович,Вікторія,Олександрівна,Михайлова,2018,Управління житлово-комунального господарства Деснянської районної в місті Києві державної адміністрації,головний спеціаліст відділу ремонту та енергозбереження,https://declarations.com.ua/declaration/nacp_c9f145ff-f0f0-4882-b0bd-357321e6f5b2
Михайлов Олександр Анатолійович,Єгор,Олександрович,Михайлов,2018,АРЗ СП ГУ ДСНС України у Вінницькій області,кандидат на посаду начальника електростанції - водія ВЖ ІГ ЧЛНА АРЗ СП ГУ ДСНС України у Вінницькій області,https://declarations.com.ua/declaration/nacp_48b3ee8d-7655-4514-a739-fed770da2bb4
Михайлов Олександр Анатолійович,Єгор,Олександрович,Михайлов,2018,АРЗ СП ГУ ДСНС України у Вінницькій області,кандидат на посаду начальника електростанції - водія ВЖ ІГ ЧЛНА АРЗ СП ГУ ДСНС України у Вінницькій області,https://declarations.com.ua/declaration/nacp_68b57b8f-1a76-4bf1-a60c-584e0fe6b0a4
Михайлов Олександр Анатолійович,Анна,Олександрівна,Михайлова,2020,Прилуцька місцева прокуратура,прокурор,https://declarations.com.ua/declaration/nacp_09c97ba0-1f5f-4a6a-b171-c5332f8ca5c5
Михайлов Олександр Анатолійович,Олександр,Олегович,Зюзін,2019,ГУ ДПС у Запорізькій області,заступник начальника управління - начальник відділу адміністрування податків і зборів з фізичних осіб Мелітопольського управління ГУ ДПС у Запорізькій області,https://declarations.com.ua/declaration/nacp_7ed3d39d-0307-45c7-a034-9f6bca271c73
Михайлов Олександр Анатолійович,Вікторія,Олександрівна,Михайлова,2020,Управління житлово-комунального господарства Деснянської районної в місті Києві державної адміністрації,головний спеціаліст відділу ремонту та енергозбереження,https://declarations.com.ua/declaration/nacp_dfbb7728-7e27-4356-8200-e283de29707f
Михайлов Олександр Анатолійович,Олександр,Олегович,Зюзін,2018,ГУ ДФС у Запорізькій області,заступник начальника управління - начальник відділу адміністрування податків і зборів з фізичних осіб,https://declarations.com.ua/declaration/nacp_70a3f232-4af8-415c-bca6-865ddc88f6c4
Михайлов Олександр Анатолійович,Єгор,Олександрович,Михайлов,2020,АРЗ СП ГУ ДСНС України у Вінницькій області,начальник електростанції - водій ВЖ ІГ ЧЛНА АРЗ СП ГУ ДСНС України у Вінницькій області,https://declarations.com.ua/declaration/nacp_1abb32c5-222f-407a-84ab-a566bfea0ca6
Михайлов Олександр Анатолійович,Тетяна,Олександрівна,Михайлова,2020,Маріупольська місцева прокуратура №1 ,прокурор прокуратури,https://declarations.com.ua/declaration/nacp_e91ed4b3-b324-4212-affb-115c939bd636
Михайлов Олександр Анатолійович,Олександр,Олегович,Зюзін,2020,ГУ ДПС у Запорізькій області,начальник Мелітопольського відділу податків і зборів з фізичних осіб управління податкового адміністрування ГУ ДПС у Запорізькій області,https://declarations.com.ua/declaration/nacp_34747cfa-4b1a-4330-9882-19e0b3863311
Михайлов Олександр Анатолійович,Дмитро,Андрійович,Пірка,2019,Головне управління Національної поліції в Кіровоградській області,помічник черговового сектору реагування патрульної поліції,https://declarations.com.ua/declaration/nacp_4de2a13e-5a49-44e1-9679-277e0d92e8fd
Михайлов Олександр Анатолійович,Анастасія,Олександрівна,Чередій,2019,ГУ ДПС у Кіровоградській області,головний державний ревізор-інспектор ,https://declarations.com.ua/declaration/nacp_6bac3438-a27c-4d77-ba41-a0d0cdd8c1eb
Остафійчук Тетяна Григорівна,Тетяна,Григорівна,Остафійчук,2018,Комунальна установа Централізована бібліотечна система,Директор Комунальної установи Централізована бібліотечна система,https://declarations.com.ua/declaration/nacp_7af2fc4a-fd73-4adc-98fa-ea9f3a29932d
Остафійчук Тетяна Григорівна,Тетяна,Григорівна,Остафійчук,2019,Комунальна установа Вітовська Централізована бібліотечна система,Директор ,https://declarations.com.ua/declaration/nacp_a3388bb6-672d-4a1c-9f07-a3168cdba10f
Остафійчук Тетяна Григорівна,Тетяна,Григорівна,Остафійчук,2020,Комунальна установа Вітовська централізована бібліотечна система,Директор Комунальної установи Вітовська централізована бібліотечна система,https://declarations.com.ua/declaration/nacp_147049c0-29a3-4560-8f12-b761b4ce5079
