owner_name,first_name,patronymic,last_name,declaration_year,office,position,url
Борсук Олександр Адамович,Наталія,Валеріївна,Кукурік,2019,Регіональний центр з надання безоплатної вторинної правової допомоги у Волинській області,начальник відділу організації надання безоплатної вторинної правової допомоги,https://declarations.com.ua/declaration/nacp_223d4d70-0dce-41f3-9a89-2038b79721da
Чак Олександр Анатолійович,Олександр,Анатолійович,Чак,2018,Головне управління Національної поліції у Волинській області,Оперуповноважений управління протидії наркозлочинності Головного управління Національної поліції у Волинській області,https://declarations.com.ua/declaration/nacp_6064d33d-8f79-4caf-8550-380913219c98
Чак Олександр Анатолійович,Олександр,Анатолійович,Чак,2019,Головне управління Національної поліції у Волинській області,Оперуповноважений управління протидії наркозлочинності Головного управління Національної поліції у Волинській області,https://declarations.com.ua/declaration/nacp_c2bac7d8-c34a-4b67-a1c2-7e79051d43c9
